id,Valence,Arousal,Dominance
0,0.6098402777777778,0.41115972222222225,0.5267152777777777
1,0.5976618705035971,0.431158273381295,0.5338705035971222
2,0.6301716417910448,0.45652238805970147,0.5468208955223881
3,0.5936842105263158,0.4382481203007519,0.5357969924812029
4,0.5925488721804513,0.48072932330827073,0.5409248120300751
5,0.6073913043478261,0.42843478260869566,0.5217913043478261
6,0.6667171052631579,0.4308684210526315,0.5320592105263158
7,0.6266259541984732,0.45147328244274804,0.5468244274809161
8,0.6692538461538462,0.42656153846153844,0.5263846153846153
9,0.6857164179104478,0.43768656716417903,0.5584626865671642
10,0.65292700729927,0.4462262773722627,0.5578540145985402
11,0.6384195804195805,0.4415104895104895,0.5423286713286714
12,0.6320887573964498,0.4279526627218935,0.5460887573964498
13,0.64286013986014,0.4252867132867133,0.5282867132867132
14,0.6277385620915034,0.43183006535947716,0.5500196078431372
15,0.6355096774193548,0.44334838709677427,0.5568967741935483
16,0.6530753424657535,0.42408219178082196,0.5402739726027397
17,0.6501095890410958,0.4345547945205479,0.5542808219178083
18,0.6758067226890756,0.4366806722689076,0.5311932773109244
19,0.6336018518518519,0.41394444444444445,0.5135
20,0.6576290322580646,0.4597177419354838,0.5742419354838709
21,0.6215531914893617,0.4012198581560284,0.5040638297872341
22,0.640264705882353,0.43274264705882354,0.5360147058823529
23,0.6288053691275167,0.4282013422818791,0.5318389261744967
24,0.6297708333333334,0.4342847222222222,0.5190277777777779
25,0.6512903225806452,0.42552419354838705,0.5321612903225807
26,0.656312,0.45118400000000003,0.5426160000000001
27,0.6083999999999999,0.46350344827586204,0.5201793103448275
28,0.630376712328767,0.4586438356164384,0.5186575342465755
29,0.6201870503597121,0.44152517985611506,0.5127985611510791
30,0.622822695035461,0.4528794326241135,0.5322056737588654
31,0.6192987012987013,0.46295454545454545,0.5347987012987012
32,0.650569536423841,0.42206622516556286,0.5380728476821193
33,0.6408413793103448,0.441096551724138,0.5244206896551724
34,0.654388888888889,0.4404444444444444,0.5340833333333334
35,0.6253064516129032,0.41311290322580646,0.5419274193548387
36,0.6242074074074073,0.41854074074074077,0.5196074074074073
37,0.6279189189189189,0.44245945945945947,0.5306486486486486
38,0.6129833333333334,0.41457499999999997,0.51845
39,0.5801221374045801,0.45725954198473273,0.5368702290076336
40,0.6129400000000002,0.42707333333333336,0.5363200000000001
41,0.5913722627737227,0.4464233576642336,0.5312846715328468
42,0.6508620689655173,0.4207672413793104,0.5370258620689656
43,0.6325746268656717,0.45463432835820894,0.5562313432835821
44,0.66588,0.45559999999999995,0.54552
45,0.637829457364341,0.42442635658914724,0.5386511627906978
46,0.6289034482758621,0.43988965517241374,0.5217724137931035
47,0.6147272727272727,0.4322587412587413,0.5199580419580422
48,0.6671925925925927,0.4426148148148148,0.5720814814814815
49,0.6371319444444444,0.46109027777777783,0.5203958333333333
50,0.6645242718446603,0.42824271844660194,0.53773786407767
