#AUTHID,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
1997_504851.txt,0.2823529411764706,0.07058823529411765,0.047058823529411764,0.2235294117647059,0.0,0.058823529411764705,0.12941176470588237,0.047058823529411764,0.07058823529411765,0.15294117647058825
1997_605191.txt,0.2376237623762376,0.1188118811881188,0.039603960396039604,0.2079207920792079,0.009900990099009901,0.07920792079207921,0.1485148514851485,0.0594059405940594,0.10891089108910891,0.15841584158415842
1997_687252.txt,0.18461538461538463,0.13846153846153847,0.03076923076923077,0.11538461538461539,0.03076923076923077,0.015384615384615385,0.09230769230769231,0.03076923076923077,0.015384615384615385,0.1
1997_568848.txt,0.28888888888888886,0.06666666666666667,0.044444444444444446,0.26666666666666666,0.022222222222222223,0.022222222222222223,0.2222222222222222,0.022222222222222223,0.13333333333333333,0.24444444444444444
1997_688160.txt,0.12698412698412698,0.14285714285714285,0.023809523809523808,0.0873015873015873,0.031746031746031744,0.07936507936507936,0.047619047619047616,0.06349206349206349,0.031746031746031744,0.06349206349206349
1997_722902.txt,0.275,0.08333333333333333,0.016666666666666666,0.125,0.025,0.025,0.125,0.03333333333333333,0.075,0.08333333333333333
1997_724708.txt,0.31683168316831684,0.09900990099009901,0.039603960396039604,0.19801980198019803,0.0594059405940594,0.0891089108910891,0.2079207920792079,0.019801980198019802,0.0594059405940594,0.2376237623762376
1997_724794.txt,0.16,0.10666666666666667,0.08,0.08,0.05333333333333334,0.05333333333333334,0.08,0.06666666666666667,0.013333333333333334,0.06666666666666667
1997_628043.txt,0.0547945205479452,0.2328767123287671,0.1232876712328767,0.1095890410958904,0.1506849315068493,0.136986301369863,0.0,0.0684931506849315,0.0,0.0410958904109589
1997_708036.txt,0.29069767441860467,0.11627906976744186,0.06976744186046512,0.22093023255813954,0.023255813953488372,0.08139534883720931,0.18604651162790697,0.05813953488372093,0.1511627906976744,0.20930232558139536
1997_665915.txt,0.11538461538461539,0.16666666666666666,0.05128205128205128,0.07692307692307693,0.0641025641025641,0.05128205128205128,0.038461538461538464,0.0641025641025641,0.02564102564102564,0.05128205128205128
1997_820679.txt,0.21739130434782608,0.17391304347826086,0.12422360248447205,0.06832298136645963,0.08074534161490683,0.049689440993788817,0.043478260869565216,0.06832298136645963,0.024844720496894408,0.14285714285714285
1997_780901.txt,0.2751677852348993,0.09395973154362416,0.0738255033557047,0.20134228187919462,0.04697986577181208,0.03355704697986577,0.15436241610738255,0.020134228187919462,0.08053691275167785,0.16778523489932887
1997_606398.txt,0.2692307692307692,0.125,0.057692307692307696,0.07692307692307693,0.04807692307692308,0.07692307692307693,0.08653846153846154,0.057692307692307696,0.028846153846153848,0.057692307692307696
1997_606357.txt,0.18309859154929578,0.09859154929577464,0.04225352112676056,0.2535211267605634,0.028169014084507043,0.04225352112676056,0.1267605633802817,0.056338028169014086,0.11267605633802817,0.15492957746478872
1997_111389.txt,0.21739130434782608,0.08695652173913043,0.17391304347826086,0.2608695652173913,0.13043478260869565,0.13043478260869565,0.17391304347826086,0.08695652173913043,0.08695652173913043,0.2608695652173913
1997_196603.txt,0.3125,0.11458333333333333,0.0625,0.16666666666666666,0.041666666666666664,0.07291666666666667,0.14583333333333334,0.08333333333333333,0.0625,0.16666666666666666
